domain,rater_id,rater_name,sigma,theta,se_sigma,se_theta,n_trials,converged
spike,0,Aaron F. Struck,0.6948402774,0.1527424753,,,452,True
spike,2,Abubakar Ayub,1.20496287,0.8454175591,,,918,True
spike,3,Adam S. Greenblatt,0.5674253392,-0.1400731504,,,452,True
spike,5,Alice Lam,0.4009817356,0.2723549604,,,13827,True
spike,6,Aline Herlopian,0.4250438304,0.4240819812,,,13827,True
spike,9,An Ouyang,0.8179332202,0.2906660438,,,1000,True
spike,13,Anil,0.5569517192,0.685441792,,,1000,True
spike,24,Chinasa Nwankwo,0.5942129819,-0.2344895303,,,452,True
spike,32,Dan Rubin,0.4954903275,0.1243642941,,,1000,True
spike,33,Dan Weber,0.6288456996,-0.703692019,,,930,True
spike,41,Douglas Maus,0.5626214682,-1.149410605,,,13827,True
spike,44,Elissa Ye,0.7356912191,0.2810122967,,,1000,True
spike,55,Fabio A. Nascimento,0.5613055927,-0.5248816609,,,1690,True
spike,58,GT,0.5195145316,0.359914273,,,867,True
spike,59,Gabe Mertz,0.3680302005,0.05240385979,,,1000,True
spike,60,Gamal Osman,0.4033093108,0.4053480923,,,1383,True
spike,66,Hiba A. Haider,0.4068485223,0.2346559763,,,1383,True
spike,70,Ioannis Karakis,0.4360471364,0.3846047819,,,15670,True
spike,71,Jake Hogan,1.290843567,0.4960808456,,,1000,True
spike,73,Jenn Kim,0.4709545984,0.2507663071,,,1000,True
spike,76,Ji Yeoun Yoo,0.4202598678,0.4203215539,,,1861,True
spike,78,Jin Jing,0.4950602108,0.3507104516,,,2868,True
spike,79,Jonathan J. Halford,0.6377236364,-0.4507059157,,,14282,True
spike,82,Julia Carlson,0.3945681239,0.2932577133,,,1000,True
spike,93,Lindsay Joslyn,0.4413277798,0.2419251204,,,1000,True
spike,95,Lisa Dümmer,0.8669548988,0.542685926,,,1000,True
spike,97,M. Brandon Westover,0.433306672,0.6529468298,,,15670,True
spike,100,Marcus Ng,0.4587163289,0.2950956523,,,15670,True
spike,106,Maurice Abou Jaoude,0.3850277235,0.272354573,,,1000,True
spike,109,Mo Shafi,0.2998046521,-0.007536076009,,,1000,True
spike,118,Nitish M. Harid,0.4354080066,0.3139075339,,,1000,True
spike,119,Olga Selioutski,0.4317988301,-0.1522942334,,,1861,True
spike,120,Olga Taraschenko,0.5653464819,-0.148888588,,,1861,True
spike,125,Peter Kaplan,0.3390002056,0.174893707,,,1000,True
spike,127,R01_jj,0.5734984792,-0.1116792709,,,500,True
spike,128,R01_post,0.6456924763,-0.6365639567,,,500,True
spike,129,R01_pre,0.6383116379,-1.011317134,,,500,True
spike,130,R02_post,0.5442471763,0.4344242513,,,500,True
spike,131,R02_pre,1.252276542,-0.05064897239,,,500,True
spike,132,R03_post,1.576803493,0.4714031518,,,500,True
spike,133,R03_pre,1.208002587,0.8458747864,,,500,True
spike,134,R04_jj,0.5634203655,0.02120947093,,,500,True
spike,135,R04_post,0.6445140257,-0.3040360808,,,500,True
spike,136,R04_pre,0.7052912794,-0.5556728244,,,500,True
spike,137,R05_jj,0.8155105922,0.6513153315,,,500,True
spike,138,R05_post,0.6064461421,0.753800571,,,500,True
spike,139,R05_pre,2.426652695,0.2960699797,,,500,True
spike,140,R06_jj,0.8655484264,0.7232968807,,,500,True
spike,141,R06_post,0.7758439233,0.4566465914,,,500,True
spike,142,R06_pre,0.76358024,-0.1044281125,,,500,True
spike,143,R07_post,6.689653292,-0.1029116735,,,500,True
spike,144,R07_pre,3.286650388,-0.262450397,,,500,True
spike,145,R08_jj,0.5895811891,0.1858719289,,,500,True
spike,146,R08_post,0.464548035,0.1011566147,,,500,True
spike,147,R08_pre,0.5766019273,-0.4204052985,,,500,True
spike,148,R09_post,1.166393533,-2.135902882,,,500,True
spike,149,R09_pre,1.413325303,-1.106003642,,,500,True
spike,150,R10_post,0.3662937951,-0.2664618194,,,500,True
spike,151,R10_pre,0.4696733276,-0.2628706396,,,500,True
spike,152,R11_post,0.4297125831,-0.1291730702,,,500,True
spike,153,R11_pre,1.418164777,0.1434354782,,,500,True
spike,154,R12_post,0.3520957614,0.2168176174,,,500,True
spike,155,R12_pre,0.3456023293,-0.2999229133,,,500,True
spike,156,R13_post,0.4916879612,0.3032677174,,,500,True
spike,157,R13_pre,0.6289095911,0.5627140403,,,500,True
spike,158,R14_post,1.677118909,-1.714830041,,,500,True
spike,159,R14_pre,1.792125909,-1.549031258,,,500,True
spike,160,R15_jj,0.6326618929,0.09953739494,,,500,True
spike,161,R15_post,0.7497090488,-0.004953481257,,,500,True
spike,162,R15_pre,1.405991359,-1.763480663,,,500,True
spike,163,R16_post,0.3124259943,0.3133583367,,,500,True
spike,164,R16_pre,0.6755869506,0.2994606197,,,500,True
spike,165,R17_post,0.5264780423,0.01922464371,,,500,True
spike,166,R17_pre,0.692735206,-0.3472483456,,,500,True
spike,167,R18_jj,0.5369696122,0.2759334743,,,500,True
spike,168,R18_post,0.4561872542,0.363232851,,,500,True
spike,169,R18_pre,1.089456551,0.4324374497,,,500,True
spike,170,R19_post,0.8073389159,-0.2059963644,,,500,True
spike,171,R19_pre,0.9694635363,0.3820668161,,,500,True
spike,172,R20_post,1.089996698,-0.6100930572,,,500,True
spike,173,R20_pre,0.8297666533,-0.7438630462,,,500,True
spike,174,R21_pre,0.75998171,0.388476342,,,500,True
spike,175,Rani Sarkis,0.36848353,-0.004534386098,,,1000,True
spike,178,Roohi Katyal,0.5209698691,0.1101662591,,,930,True
spike,179,Ryan Gaudreau,0.7383491465,0.1952916086,,,1000,True
spike,180,Sahar Zafar,0.2981175093,-0.01090166345,,,1000,True
spike,181,Sam Terman,0.302647759,0.006994500756,,,1000,True
spike,185,Sarah Schmitt,0.3255473181,0.3563682735,,,1395,True
spike,186,Sean,0.5564415173,0.302234292,,,1000,True
spike,187,Selim R. Benbadis,0.545889051,-1.085744143,,,1392,True
spike,188,Shenda Hong,0.5837341086,0.00652423501,,,1000,True
spike,194,Sydney S. Cash,0.4316743057,1.205734611,,,13827,True
spike,196,Valeria Sacca,0.4391638714,0.1040509716,,,1000,True
spike,198,Wei-Long Zheng,0.4597336066,-0.06407464296,,,1000,True
spike,199,Wendong Ge,0.6000577535,0.463493675,,,1000,True
spike,200,William O. Tatum,0.4430882841,-0.2273313105,,,1858,True
spike,201,Yu Zhu,0.2610590227,0.168589741,,,1000,True
spike,203,Ziwei Fan,0.7305057837,0.3282212615,,,1000,True
spike,204,Zubeda Sheikh,0.7640661996,-0.4766011238,,,931,True
spike,206,crowd_100195,0.7044345483,0.1891976595,,,416,True
spike,207,crowd_100311,0.4494302601,0.2029429078,,,31,True
spike,208,crowd_100327,1.00380864,0.460147053,,,635,True
spike,209,crowd_100531,0.5082916829,0.3696908653,,,115,True
spike,210,crowd_101152,0.832389142,0.7803428769,,,51,True
spike,211,crowd_101216,0.5240484731,0.4756253064,,,32,True
spike,212,crowd_101297,0.4068208539,0.002286791801,,,323,True
spike,213,crowd_10155,1.505288182,0.4758471549,,,34,True
spike,214,crowd_101554,1.346456212,0.2191090882,,,43,True
spike,215,crowd_101606,0.4940576641,0.5770317912,,,60,True
spike,216,crowd_10184,1.036858055,2.778554201,,,1052,True
spike,217,crowd_101954,0.4965083292,1.099858999,,,75,True
spike,218,crowd_102014,0.3130397829,0.1468440294,,,2031,True
spike,219,crowd_102184,0.723826322,0.3099383414,,,1507,True
spike,220,crowd_102191,0.9337826789,0.08481328934,,,175,True
spike,221,crowd_102252,0.5946544523,0.4869115651,,,126,True
spike,222,crowd_102534,0.7869582395,0.6638897061,,,436,True
