rater_id,canonical_name,groups,expertise_level,t_mean,t_sd,ell_mean,ell_sd,n_labels,pos_rate,n_tasks
0,Aaron F. Struck,"[""Bonobo"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.6088672950722586,0.0014501245590000777,2.830054221932941,0.023311978083366318,16324,0.10640774320019603,6
5,Alice Lam,"[""Super8"", ""sparcnet50K""]",expert,0.2617025334419971,0.06955326194164192,3.0,0.18163800467746513,418,0.0,6
6,Aline Herlopian,"[""Super8"", ""sparcnet50K""]",expert,0.6224252518893373,0.0013698973952997152,2.784800911739144,0.021497466791245597,16831,0.12821579228803992,6
8,Ammar Kheder,"[""sparcnet50K""]",expert,0.13137682790186556,0.1011114628837785,2.818700725186033,0.28891753116199964,205,0.0,5
10,Andres Rodriguez,"[""sparcnet50K""]",expert,0.547398696623224,0.004331067837246268,2.473190355097953,0.04375621312181115,3271,0.11219810455518191,5
16,Arcot Jayagopal Lakshman Narain,"[""sparcnet50K""]",expert,0.6115008116571847,0.001960292560183452,3.0,0.0345143625687826,6259,0.09761942802364595,5
19,Brendan Thomas,"[""sparcnet50K""]",experienced,0.20572320063927624,0.1775687667917026,2.8773878426601827,0.8545933994599151,246,0.0,5
20,Brian Appavu,"[""sparcnet50K""]",expert,0.5641612784727721,0.0026946744749644907,2.5328889346936347,0.0294327360288697,9800,0.08908163265306122,5
22,Carlos Muniz,"[""sparcnet50K""]",expert,0.06943302487436043,0.08737203064169324,2.582490290503675,0.18342353580317472,767,0.0,5
23,Catherine Chu,"[""sparcnet50K""]",expert,0.07832967629532045,0.11378225535947582,2.6657941120122026,0.3842439843425702,290,0.0,5
26,Christa Swisher,"[""sparcnet50K""]",expert,0.5904588692462144,0.002510927547390491,2.9417923963288457,0.0380628580413121,3804,0.13117770767613038,5
28,Christine Scott,"[""sparcnet50K""]",experienced,0.18525250588081815,0.13539310982427255,3.0,0.5368496611428748,419,0.0,5
29,Christopher McGraw,"[""sparcnet50K""]",expert,0.4343347806560971,0.1289886732995622,3.0,0.4384113190214095,117,0.0,5
38,Deepti Zutshi,"[""sparcnet50K""]",expert,0.6316665372379123,0.005743758395609333,3.0,0.07586704507464831,518,0.12548262548262548,5
39,Deirdre O''Rourke,"[""sparcnet50K""]",expert,0.49062511225483546,0.06103830843779143,2.91749642957023,0.24512381710841302,314,0.0,5
40,Diego Carvalho,"[""sparcnet50K""]",expert,0.17592288375731302,0.1028541621742756,3.0,0.3107221229825936,567,0.0,5
42,Eddy Amorim,"[""sparcnet50K""]",expert,0.5486257290077169,0.02643673767530538,2.693262457446516,0.14040080364195448,515,0.007766990291262136,5
43,Eliezer Sternberg,"[""sparcnet50K""]",expert,0.22539605622028322,0.09753767315252719,2.8825880246497744,0.23960913888065097,339,0.0,5
46,Emily Gilmore,"[""sparcnet50K""]",expert,0.5466623273006683,0.005166516754747183,2.7215241308847062,0.053695289473432765,2266,0.061341571050308914,5
47,Emily Johnson,"[""sparcnet50K""]",expert,0.6040709171340296,0.0014774297377557486,3.0,0.02646565856006936,9864,0.1275344687753447,5
49,Eric S. Rosenthal,"[""sparcnet50K""]",expert,0.6226359690808906,0.00538060499604511,2.222686046917985,0.035572623698955336,2699,0.17895516858095592,5
52,Expert_x,"[""sparcnet50K""]",expert,0.12716804761283793,0.10487817280793507,2.566245236784246,0.2622085490192976,245,0.0,5
54,Expert_z,"[""sparcnet50K""]",expert,0.06122865110752141,0.12510848456912682,2.553419155390433,0.4263064921409692,124,0.0,5
57,Fonda Chan,"[""sparcnet50K""]",expert,-0.020280231356946676,0.08554295471606763,1.7603641147576754,0.15539190698701535,655,0.0,5
60,Gamal Osman,"[""Bonobo"", ""sparcnet50K""]",expert,0.53637063285496,0.0028808047171362356,2.687101868955147,0.03352893854936202,8844,0.06524197195838986,6
62,Gina Deck,"[""sparcnet50K""]",expert,0.03988356691651271,0.09576317527730906,2.479132767993745,0.22390758512053663,498,0.0,5
63,Gireesh Elakkat,"[""sparcnet50K""]",expert,0.5680403437362989,0.01468607065522004,2.519426975330937,0.11145512586302841,198,0.09090909090909091,5
66,Hiba A. Haider,"[""Bonobo"", ""sparcnet50K""]",expert,0.6266608363387421,0.001811283542083272,2.9488405730888143,0.030521766190260216,5818,0.18288071502234446,6
67,Holmes Manisha,"[""sparcnet50K""]",expert,0.5679540123587439,0.006312627319443497,2.678436189438134,0.06469982286597234,1372,0.0641399416909621,5
69,Illya Tolokh,"[""sparcnet50K""]",expert,0.27743211128161505,0.10503745905275351,3.0,0.254219138723076,571,0.0,5
70,Ioannis Karakis,"[""Super8"", ""sparcnet50K""]",expert,0.6607222694522571,0.0011939302380187475,2.876942817806062,0.01880374292908377,16531,0.16919726574314922,6
72,Jay Pathmanathan,"[""sparcnet50K""]",expert,0.584673976727925,0.004963096160731719,2.9802750222787324,0.06402840628523451,1001,0.0989010989010989,5
73,Jenn Kim,"[""New28"", ""sparcnet50K""]",experienced,0.6150196205487902,0.002273739514594371,2.678367335410252,0.03077253991780251,5452,0.171496698459281,6
74,Jennifer William,"[""sparcnet50K""]",expert,0.13447028754240628,0.08164307813402764,2.916118936802028,0.18048494013913957,1237,0.0,5
76,Ji Yeoun Yoo,"[""Bonobo"", ""sparcnet50K""]",expert,0.5837152286048805,0.004732155879511449,3.0,0.06086417071287921,1474,0.05223880597014925,6
77,Jimmy Yang,"[""sparcnet50K""]",experienced,0.22163400549976975,0.12104897021920757,3.0,0.4127407630982725,377,0.0,5
78,Jin Jing,"[""New28"", ""sparcnet50K""]",experienced,0.5970467994995049,0.0030287251777531355,3.0,0.03131008187212894,19158,0.013205971395761561,6
79,Jonathan J. Halford,"[""Super8"", ""sparcnet50K""]",expert,0.642976014514945,0.0015260772225115671,2.6199348646333194,0.01864064498551847,13143,0.1804002130411626,6
80,Jong Woo Lee,"[""sparcnet50K""]",expert,0.5861271106909386,0.003074670127238485,2.7886898026786877,0.041596607517723455,3006,0.12874251497005987,5
81,Joseph Cohen,"[""sparcnet50K""]",expert,0.356810230649917,0.18611677360080553,2.878252891765533,0.7064008023833318,104,0.0,5
84,Karan Poddar,"[""sparcnet50K""]",experienced,0.22278710931852086,0.09908574670900981,3.0,0.2922755379731798,541,0.0,5
87,Kristy Nordstrom,"[""sparcnet50K""]",expert,0.11325558888404397,0.14185357291233205,2.939301724871238,0.5986249240496594,2036,0.0,5
88,Kristy Tripp,"[""sparcnet50K""]",expert,0.17031669898545526,0.16020710222950887,2.7088682527128296,0.7166944744331127,110,0.0,5
90,Lidia Moura,"[""sparcnet50K""]",expert,0.16422717753287536,0.10340240961263973,3.0,0.34650467864015266,237,0.0,5
91,Lily Grossmann,"[""sparcnet50K""]",experienced,0.30103927725494556,0.11705185762995492,3.0,0.36759213978960853,117,0.0,5
97,M. Brandon Westover,"[""Super8"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.6238654979950691,0.0011278774488556987,3.0,0.015889483945922125,34624,0.06674560998151571,6
98,Mackenzie C. Cervenka,"[""sparcnet50K""]",expert,0.5959486444786589,0.003563212758786412,2.6359962701993287,0.04381905236853845,3394,0.09752504419563936,5
100,Marcus Ng,"[""Super8"", ""sparcnet50K""]",expert,0.6089229343683531,0.0014160486792277206,3.0,0.02540597242495686,12965,0.1061318935595835,6
101,Marjan Dolatshahi,"[""sparcnet50K""]",expert,0.4141690524914636,0.07005480910800053,2.305951168166711,0.15915653049821776,902,0.0,5
108,Michael Ho,"[""sparcnet50K""]",expert,0.1609043489620503,0.10457833446041553,2.8064002172239224,0.28740817906028765,226,0.0,5
109,Mo Shafi,"[""New28"", ""sparcnet50K""]",expert,0.5797798650312715,0.010339315350126924,3.0,0.09164720954517183,340,0.04411764705882353,6
110,Mohammad Tabaeizadeh F.,"[""sparcnet50K""]",expert,0.6039776876226146,0.005951994099174408,2.4786783807475596,0.04113568350181892,2663,0.08374014269620729,5
112,Monica Dhakar,"[""sparcnet50K""]",expert,0.5623525186936035,0.002876929190353524,2.5842441643912593,0.03376144712400462,6484,0.10579888957433684,5
