rater_id,canonical_name,groups,expertise_level,t_mean,t_sd,ell_mean,ell_sd,n_labels,pos_rate,n_tasks
0,Aaron F. Struck,"[""Bonobo"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.6434339725931573,0.0008492815620941351,3.0,0.020146707460864183,16324,0.2872457730948297,6
5,Alice Lam,"[""Super8"", ""sparcnet50K""]",expert,0.27478678095925546,0.06947985869326616,3.0,0.22027684379214763,418,0.0,6
6,Aline Herlopian,"[""Super8"", ""sparcnet50K""]",expert,0.6432653883186102,0.001041053970109964,2.8390170495620897,0.019602514434879384,16831,0.22577386964529736,6
8,Ammar Kheder,"[""sparcnet50K""]",expert,0.1509884573454815,0.09921628114086924,2.82889979753914,0.30176701750338125,205,0.0,5
10,Andres Rodriguez,"[""sparcnet50K""]",expert,0.5553990072306391,0.00478042326513531,2.5624325630775315,0.04866558752709796,3271,0.09140935493732803,5
16,Arcot Jayagopal Lakshman Narain,"[""sparcnet50K""]",expert,0.597353031705661,0.0016029543190731832,3.0,0.030135430559136756,6259,0.1687170474516696,5
19,Brendan Thomas,"[""sparcnet50K""]",experienced,0.21090137737231623,0.177206202826703,2.855746444410804,0.8770088970330546,246,0.0,5
20,Brian Appavu,"[""sparcnet50K""]",expert,0.5896831040180602,0.001835621682538009,2.729144774441838,0.026348908598688284,9800,0.14653061224489797,5
22,Carlos Muniz,"[""sparcnet50K""]",expert,0.09127002762679119,0.08806124906413391,2.6377690534263127,0.2224204521730286,767,0.0,5
23,Catherine Chu,"[""sparcnet50K""]",expert,0.07933406756965967,0.10981062954505373,2.6396970993857116,0.40064108350929717,290,0.0,5
26,Christa Swisher,"[""sparcnet50K""]",expert,0.6255912403177197,0.002285252310257438,3.0,0.03865891947276605,3804,0.17665615141955837,5
28,Christine Scott,"[""sparcnet50K""]",experienced,0.18992609435577917,0.1296659051557123,3.0,0.551519781938846,419,0.0,5
29,Christopher McGraw,"[""sparcnet50K""]",expert,0.44740891165149965,0.1283164570620536,3.0,0.447346132018606,117,0.0,5
