rater_id,canonical_name,groups,expertise_level,t_mean,t_sd,ell_mean,ell_sd,n_labels,pos_rate
0,Aaron F. Struck,"[""Bonobo"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.5499632951497555,0.0014580306255846055,2.735257369871689,0.022804603438624036,16324,0.10640774320019603
6,Aline Herlopian,"[""Super8"", ""sparcnet50K""]",expert,0.5646746857749286,0.0013919969368966583,2.708723270302668,0.0217993114439523,16831,0.12821579228803992
10,Andres Rodriguez,"[""sparcnet50K""]",expert,0.4870591169548683,0.0037961015086491945,2.4310523275794607,0.04229294375444136,3271,0.11219810455518191
16,Arcot Jayagopal Lakshman Narain,"[""sparcnet50K""]",expert,0.5504475365089244,0.0018684918426644275,3.0,0.03741438292053617,6259,0.09761942802364595
20,Brian Appavu,"[""sparcnet50K""]",expert,0.5021222571723973,0.0023437210634728984,2.451662647122336,0.025510901656678162,9800,0.08908163265306122
26,Christa Swisher,"[""sparcnet50K""]",expert,0.5295032931361032,0.00270131438594314,2.79768812924693,0.04244142280852651,3804,0.13117770767613038
38,Deepti Zutshi,"[""sparcnet50K""]",expert,0.572096999979514,0.006369261384967336,2.870497628643703,0.12610452091995067,518,0.12548262548262548
46,Emily Gilmore,"[""sparcnet50K""]",expert,0.4801378199112761,0.004795465695094628,2.58176151630599,0.053520695744915324,2266,0.061341571050308914
47,Emily Johnson,"[""sparcnet50K""]",expert,0.5453275883633149,0.0014316995397043984,3.0,0.0276273410669032,9864,0.1275344687753447
49,Eric S. Rosenthal,"[""sparcnet50K""]",expert,0.5632238650036125,0.005410446569062607,2.088662099820747,0.03529631907704167,2699,0.17895516858095592
60,Gamal Osman,"[""Bonobo"", ""sparcnet50K""]",expert,0.4778594673526491,0.0022682474034596543,2.698728961102321,0.029691837491358772,8844,0.06524197195838986
63,Gireesh Elakkat,"[""sparcnet50K""]",expert,0.4902339873698337,0.01680765433392433,2.2847587323567446,0.15308718374859046,198,0.09090909090909091
66,Hiba A. Haider,"[""Bonobo"", ""sparcnet50K""]",expert,0.569492808133126,0.0019008332091930108,2.877709690960079,0.03433550387496501,5818,0.18288071502234446
67,Holmes Manisha,"[""sparcnet50K""]",expert,0.5000435251942936,0.006155955491085494,2.4915496150256953,0.0683805464862376,1372,0.0641399416909621
70,Ioannis Karakis,"[""Super8"", ""sparcnet50K""]",expert,0.6057514078288511,0.0012558551347094866,2.8170217215935045,0.019970276253512213,16531,0.16919726574314922
72,Jay Pathmanathan,"[""sparcnet50K""]",expert,0.5264548666344293,0.004763928381733085,2.9510678915604673,0.08381971353970996,1001,0.0989010989010989
73,Jenn Kim,"[""New28"", ""sparcnet50K""]",experienced,0.5574839018529294,0.0023106344804575806,2.623872084480615,0.033495620765302686,5452,0.171496698459281
76,Ji Yeoun Yoo,"[""Bonobo"", ""sparcnet50K""]",expert,0.5219258525488117,0.004340008575052921,3.0,0.08141883328892234,1474,0.05223880597014925
78,Jin Jing,"[""New28"", ""sparcnet50K""]",experienced,0.535993960957312,0.002761016158757657,3.0,0.04964846594949959,5550,0.045585585585585585
79,Jonathan J. Halford,"[""Super8"", ""sparcnet50K""]",expert,0.586909341273555,0.0015654840114679312,2.5544922873577107,0.019052373902536092,13143,0.1804002130411626
80,Jong Woo Lee,"[""sparcnet50K""]",expert,0.5232556723835617,0.0032726472045757214,2.616209924496157,0.04526921785683902,3006,0.12874251497005987
97,M. Brandon Westover,"[""Super8"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.5652724487991352,0.001106279373861499,3.0,0.02306700436374108,21016,0.10996383707651314
98,Mackenzie C. Cervenka,"[""sparcnet50K""]",expert,0.5336357428655869,0.0034622008486369146,2.5006847647483963,0.04418818469504132,3394,0.09752504419563936
100,Marcus Ng,"[""Super8"", ""sparcnet50K""]",expert,0.5493126330411741,0.0013706403048356147,3.0,0.027286174787433264,12965,0.1061318935595835
109,Mo Shafi,"[""New28"", ""sparcnet50K""]",expert,0.5043394315523111,0.012146301452700875,2.7677793420393004,0.14836135519480456,340,0.04411764705882353
110,Mohammad Tabaeizadeh F.,"[""sparcnet50K""]",expert,0.5433274399952868,0.005446418364899526,2.384108930096551,0.039140939920125926,2663,0.08374014269620729
112,Monica Dhakar,"[""sparcnet50K""]",expert,0.501453480588403,0.002617988815993813,2.5164797171241,0.031653195053701656,6484,0.10579888957433684
115,Nicolas Gaspard,"[""sparcnet50K""]",expert,0.5192909335926732,0.0030877548098301746,2.5564931451723294,0.04207929090374136,3535,0.14794908062234796
120,Olga Taraschenko,"[""Bonobo"", ""sparcnet50K""]",expert,0.5104237253349856,0.002939664713527491,2.468560379078254,0.032843496408200605,6256,0.07352941176470588
125,Peter Kaplan,"[""New28"", ""sparcnet50K""]",expert,0.4992547383083077,0.002404811708574673,2.8276247815750497,0.035082680778403486,6781,0.05412181094233889
175,Rani Sarkis,"[""New28"", ""sparcnet50K""]",expert,0.5566653337034319,0.0015731989970069003,3.0,0.0302743039268339,8938,0.12967106735287537
180,Sahar Zafar,"[""New28"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.4950249761874298,0.0031787503332402086,2.3979295805606133,0.030830445553179344,7590,0.07338603425559947
185,Sarah Schmitt,"[""Bonobo"", ""sparcnet50K""]",expert,0.5712889572823511,0.0019998801892206373,2.8109075903122447,0.034999339896576956,5950,0.16974789915966387
192,Sue Herman,"[""sparcnet50K""]",expert,0.5387112725988571,0.0036774574909043903,3.0,0.07806648033254268,1333,0.13578394598649662
204,Zubeda Sheikh,"[""Bonobo"", ""sparcnet50K""]",expert,0.5493932371590938,0.001986039096086151,2.904688333474406,0.03668314397398063,6259,0.0979389678862438
10043096,centaur_43096,"[""Centaur""]",novice,-0.4175434104964891,0.11462552345864847,0.14725318869131834,0.1019288093065955,188,0.09042553191489362
10075969,centaur_75969,"[""Centaur""]",novice,-0.8967300348935973,0.09669127105827169,0.11333258585824547,0.06160976450691135,523,0.03441682600382409
10112839,centaur_112839,"[""Centaur""]",expert,0.2439542113442227,0.08366303065066515,0.46981527596818995,0.16727872711678377,123,0.21951219512195122
10123180,centaur_123180,"[""Centaur""]",unknown,0.49802990599240193,0.004016846316981404,2.8772997432229657,0.06730360550336949,1248,0.13381410256410256
10123559,centaur_123559,"[""Centaur""]",novice,0.30166107743033355,0.01278005771210271,0.5175949737011231,0.028104223976870714,4780,0.2290794979079498
10132535,centaur_132535,"[""Centaur""]",novice,-0.17642100647400957,0.1029073863460966,0.25224221019241394,0.11842447464652783,155,0.12903225806451613
10154419,centaur_154419,"[""Centaur""]",novice,0.0304311640352068,0.055172107398705914,0.2561611489163238,0.07739542506408498,468,0.1794871794871795
10187180,centaur_187180,"[""Centaur""]",novice,0.27895169188843016,0.014202354704557264,0.8170986232532937,0.03580203251136362,2580,0.16782945736434107
10191971,centaur_191971,"[""Centaur""]",borderline,-0.4325224162488311,0.06565529872934345,0.2865286715735624,0.0593627684940467,561,0.06417112299465241
10202841,centaur_202841,"[""Centaur""]",unknown,0.6064089036801205,0.025763273546041715,1.2978612270057455,0.1674700895424866,242,0.3677685950413223
10235741,centaur_235741,"[""Centaur""]",unknown,0.054814047961929804,0.09239653679910592,0.3796601946851883,0.14593289699878717,132,0.17424242424242425
10268686,centaur_268686,"[""Centaur""]",unknown,0.3688416736874689,0.034403372871658004,1.2135317755676158,0.12939122408029355,200,0.175
10268689,centaur_268689,"[""Centaur""]",unknown,0.48232057051857014,0.012993567351884503,2.0207076012391503,0.10800360188120715,381,0.14698162729658792
10273445,centaur_273445,"[""Centaur""]",unknown,0.45398080267129476,0.024720760928864802,2.0141280579835543,0.18885013093931008,116,0.14655172413793102
10277850,centaur_277850,"[""Centaur""]",unknown,-0.9600838037132483,0.16374536021117903,-0.3426802685204418,0.09599337318556855,206,0.10679611650485436
10280197,centaur_280197,"[""Centaur""]",unknown,-0.6573826861374755,0.17241905024369733,0.13473818492706535,0.12910900363248526,109,0.05504587155963303
10282558,centaur_282558,"[""Centaur""]",borderline,0.5066619617825912,0.0019088088781291331,3.0,0.03865970107540884,4906,0.15103954341622502
10292444,centaur_292444,"[""Centaur""]",unknown,-0.338658114411204,0.12357831601541196,-0.34275926299971865,0.10597421736741952,266,0.21052631578947367
10295478,centaur_295478,"[""Centaur""]",unknown,0.048294174251387344,0.08577354321627309,0.6079376906437421,0.1402943970871382,125,0.12
10295624,centaur_295624,"[""Centaur""]",unknown,0.1542096102194041,0.07873913286295973,0.2261281618959005,0.12862719156911717,213,0.2300469483568075
10296241,centaur_296241,"[""Centaur""]",unknown,0.47778935172308307,0.010161762828974087,1.6219582215057824,0.0643687606988969,1065,0.20093896713615023
10299374,centaur_299374,"[""Centaur""]",novice,0.5003968343124111,0.0024810123432410128,3.0,0.048396741471299035,2945,0.13752122241086587
10323079,centaur_323079,"[""Centaur""]",unknown,-0.10073754000339147,0.10719266709285612,0.15360034538030068,0.12485278085685518,158,0.15822784810126583
10335323,centaur_335323,"[""Centaur""]",unknown,-0.34596565101045834,0.15737177925655202,-0.05427919766789999,0.14270389363071062,109,0.14678899082568808
10343797,centaur_343797,"[""Centaur""]",unknown,0.08025052314504715,0.08051618657582393,0.3962417316592191,0.119454959410069,183,0.15300546448087432
10357322,centaur_357322,"[""Centaur""]",unknown,-0.6074633579299052,0.15613450624145372,-0.307894835830207,0.11165732461867427,180,0.15
10358060,centaur_358060,"[""Centaur""]",expert,0.4950615449535565,0.0026482124535849123,2.5686479866202707,0.03392837337136995,4443,0.14674769300022508
10363653,centaur_363653,"[""Centaur""]",unknown,0.4225981425629595,0.015572854674388598,1.8018079300311483,0.09461683983232327,409,0.13202933985330073
10363949,centaur_363949,"[""Centaur""]",unknown,0.510443307494361,0.008614798441799148,2.082884420944585,0.08409930266218799,661,0.2118003025718608
10364505,centaur_364505,"[""Centaur""]",novice,0.2813960079809442,0.06761071225776424,0.6266065232115366,0.15009100849442664,145,0.2
10381562,centaur_381562,"[""Centaur""]",unknown,0.5267498040704472,0.009854256370517442,2.2041152895829765,0.10765174613051327,420,0.20952380952380953
10382225,centaur_382225,"[""Centaur""]",novice,0.46820690968311796,0.030914207847606078,1.3599971596590095,0.1734403718553692,178,0.23595505617977527
10383439,centaur_383439,"[""Centaur""]",unknown,-0.557610103553558,0.13439990405757218,0.3025656974780655,0.11144145833647362,159,0.0440251572327044
10388028,centaur_388028,"[""Centaur""]",novice,0.4370917555279323,0.008842768217242872,1.9154085896635253,0.05957651436522347,1077,0.12534818941504178
10393526,centaur_393526,"[""Centaur""]",unknown,0.140776742454724,0.05014452314673577,1.1557624531481816,0.10788083066668529,198,0.06060606060606061
10395045,centaur_395045,"[""Centaur""]",unknown,0.548911437375886,0.010510288292343187,2.2524335175759282,0.1257852575537471,331,0.25075528700906347
10406335,centaur_406335,"[""Centaur""]",novice,0.14473647239611134,0.09376568960136211,0.3768324742398786,0.15734411857276212,124,0.1935483870967742
10410661,centaur_410661,"[""Centaur""]",novice,0.3259465421231442,0.0423687552715171,0.9741477674878146,0.12717464757260366,203,0.17733990147783252
10421122,centaur_421122,"[""Centaur""]",borderline,0.5079731885839974,0.0018844941013896356,3.0,0.03841829223203801,4997,0.15329197518511106
10427272,centaur_427272,"[""Centaur""]",novice,-0.5454992148120934,0.11864825450939742,-0.12846334287670422,0.09154384334757625,247,0.12550607287449392
10427522,centaur_427522,"[""Centaur""]",borderline,0.5031115469426588,0.0019115545618479854,3.0,0.03750663201027475,4991,0.1450611099979964
10427523,centaur_427523,"[""Centaur""]",borderline,0.5097383730467969,0.0018769601478049495,3.0,0.03923691107808725,4999,0.15643128625725145
10436223,centaur_436223,"[""Centaur""]",expert,-1.0463191466075077,0.16736625399581437,-0.11297462413598316,0.09713630203668726,189,0.05291005291005291
10441554,centaur_441554,"[""Centaur""]",unknown,-0.10509827097249573,0.09769113966768429,0.54462477825783,0.12921325277214876,126,0.0873015873015873
10445500,centaur_445500,"[""Centaur""]",unknown,0.39012043352714537,0.03744290846913726,1.1994519380615354,0.139361020251486,171,0.18128654970760233
10452632,centaur_452632,"[""Centaur""]",unknown,-0.500572747671596,0.15344610996048683,0.06417434034728793,0.1287762851583217,118,0.09322033898305085
10453167,centaur_453167,"[""Centaur""]",borderline,0.22625242075745272,0.07785180705457356,0.6502411412994907,0.16802301499091574,106,0.18867924528301888
10456497,centaur_456497,"[""Centaur""]",novice,0.07506412746074209,0.10249952508201574,0.4376718254234585,0.16171827472382222,102,0.1568627450980392
10463110,centaur_463110,"[""Centaur""]",unknown,0.18228320421394456,0.04768458366727789,0.5405223942234655,0.08752532715774737,379,0.16886543535620052
10467362,centaur_467362,"[""Centaur""]",borderline,0.4617887544940195,0.0045287036955883025,2.2140072700437257,0.040377394494086484,2675,0.12485981308411215
10474366,centaur_474366,"[""Centaur""]",expert,-0.13803236955478068,0.0445770626803758,0.494059933664044,0.05568529696972031,694,0.08501440922190202
10479788,centaur_479788,"[""Centaur""]",borderline,-0.7310433569811052,0.11447174003285425,0.08409196407016827,0.0816578895479961,276,0.057971014492753624
10487681,centaur_487681,"[""Centaur""]",novice,0.3130177166467873,0.03591617948022583,0.8192499026094598,0.09875660017069283,368,0.1956521739130435
10489707,centaur_489707,"[""Centaur""]",novice,0.5109386722744691,0.0018713678022544073,3.0,0.03560239315465858,4999,0.15743148629725945
10492981,centaur_492981,"[""Centaur""]",novice,0.22488650104784624,0.06342679367761817,0.7207257830389553,0.1377267256391826,164,0.1524390243902439
10501111,centaur_501111,"[""Centaur""]",unknown,-0.9294277766549645,0.15655873553610694,0.04171439998587558,0.09935312221828957,188,0.0425531914893617
10504297,centaur_504297,"[""Centaur""]",unknown,-0.4686128795208008,0.16378521283257494,-0.27955189932656327,0.13279558726826232,142,0.176056338028169
10504728,centaur_504728,"[""Centaur""]",unknown,-0.3862428267446195,0.16784323946903193,-0.06055776577600255,0.14869310281419962,100,0.14
10508956,centaur_508956,"[""Centaur""]",unknown,-0.5592823188960342,0.10549469493525278,0.04070772399628912,0.08135097255150794,290,0.08275862068965517
10509395,centaur_509395,"[""Centaur""]",novice,0.48513824717327925,0.012735070408993505,2.084929551284614,0.1184269037788736,325,0.17846153846153845
10517927,centaur_517927,"[""Centaur""]",unknown,-0.3702519593006703,0.10281137675030057,0.04111534272217814,0.09401464468239153,240,0.125
10518592,centaur_518592,"[""Centaur""]",novice,-0.7358398084507617,0.11916415101641681,0.12483704349543176,0.0847582818106158,264,0.04924242424242424
10521719,centaur_521719,"[""Centaur""]",unknown,0.301591801205036,0.025427974737713337,0.6350644559573747,0.060088716512614646,1024,0.20703125
10526153,centaur_526153,"[""Centaur""]",unknown,-0.6024749409573174,0.17124297197324787,-0.11497717423866849,0.1254232036403683,123,0.10569105691056911
10528018,centaur_528018,"[""Centaur""]",unknown,-0.11599028434351184,0.12915377767194497,-0.15780131567470101,0.13775859073706612,167,0.2215568862275449
10528824,centaur_528824,"[""Centaur""]",unknown,-0.1935835997403566,0.05411363808453646,0.28084310059785567,0.06027759613825554,604,0.11092715231788079
10533257,centaur_533257,"[""Centaur""]",novice,0.5127541854491949,0.01677745494069718,2.2421140460820954,0.1662105176466661,151,0.17880794701986755
10544224,centaur_544224,"[""Centaur""]",unknown,0.481676868363551,0.011085417149102182,1.5505601172209773,0.06805033194064934,1001,0.2127872127872128
10545704,centaur_545704,"[""Centaur""]",unknown,-0.18601417142356524,0.11585403527966602,0.1327178515287429,0.12455626595269516,148,0.14189189189189189
10545920,centaur_545920,"[""Centaur""]",unknown,0.4419283073886286,0.009567198151592146,1.5219458009579714,0.05143327886818547,1518,0.17654808959156784
10548261,centaur_548261,"[""Centaur""]",unknown,-0.5405630079291918,0.07622849644846243,0.027116452034959566,0.06067550061977702,523,0.09560229445506692
10554066,centaur_554066,"[""Centaur""]",novice,0.4308856139317818,0.017926886330806285,1.6358335375623296,0.09941443614285249,379,0.15567282321899736
10556359,centaur_556359,"[""Centaur""]",unknown,0.035182592769960976,0.06838382454600105,0.5066748398943616,0.10457599734186002,219,0.1324200913242009
10562756,centaur_562756,"[""Centaur""]",novice,0.131987477431632,0.06411530226412454,0.50486568344278,0.11071386121592769,226,0.16371681415929204
10565246,centaur_565246,"[""Centaur""]",novice,0.417076683816852,0.007510318652233725,1.7213430498839755,0.04131553412147825,2103,0.12553495007132667
10566370,centaur_566370,"[""Centaur""]",unknown,0.15784901758929165,0.018062855019503887,0.7723146267850142,0.036175388113190036,2034,0.12389380530973451
10567616,centaur_567616,"[""Centaur""]",unknown,0.470568331433329,0.009168294210441085,2.0278378084649984,0.07344006599500962,765,0.14901960784313725
10569668,centaur_569668,"[""Centaur""]",novice,0.36814571081586067,0.008478581133338587,1.421727354728531,0.03440330144903036,2801,0.12459835772938237
10570381,centaur_570381,"[""Centaur""]",unknown,0.45133013713107595,0.0310669484554526,1.5519735597109101,0.17354092261853282,125,0.192
