rater_id,canonical_name,groups,expertise_level,t_mean,t_sd,ell_mean,ell_sd,n_labels,pos_rate
0,Aaron F. Struck,"[""Bonobo"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.25732510694808475,0.0018965909229877794,2.2337882154921007,0.020474348230270886,16324,0.2872457730948297
6,Aline Herlopian,"[""Super8"", ""sparcnet50K""]",expert,0.25661174026907835,0.002421487924519835,1.9737612567778566,0.018184464826433388,16831,0.22577386964529736
10,Andres Rodriguez,"[""sparcnet50K""]",expert,0.03866745817182745,0.009320413508513948,1.640041536116951,0.0400260577662876,3271,0.09140935493732803
16,Arcot Jayagopal Lakshman Narain,"[""sparcnet50K""]",expert,0.14822948849504222,0.002941024188178676,2.3960355097906314,0.030536221494982554,6259,0.1687170474516696
20,Brian Appavu,"[""sparcnet50K""]",expert,0.1253318231180882,0.003908120859386599,1.8272380326762552,0.02348618306762572,9800,0.14653061224489797
26,Christa Swisher,"[""sparcnet50K""]",expert,0.21527682444740312,0.0054217052120585085,2.11003609290654,0.041078914322688106,3804,0.17665615141955837
38,Deepti Zutshi,"[""sparcnet50K""]",expert,0.21344798756088587,0.010934745773950365,2.2926558006353686,0.09698980099699359,518,0.35135135135135137
46,Emily Gilmore,"[""sparcnet50K""]",expert,0.15309128475620556,0.007438615737652919,1.879002236002745,0.048223441509209264,2266,0.15842894969108562
47,Emily Johnson,"[""sparcnet50K""]",expert,0.27022399395079133,0.0029955491377701123,2.0343170848246084,0.024429913715206728,9864,0.2402676399026764
49,Eric S. Rosenthal,"[""sparcnet50K""]",expert,0.31317028448233003,0.0075978064985926345,1.707545909815977,0.03669809619417739,2699,0.28454983327158206
60,Gamal Osman,"[""Bonobo"", ""sparcnet50K""]",expert,0.09121203446351409,0.00502262518135778,1.564726303333574,0.021892933228806602,8844,0.1215513342379014
63,Gireesh Elakkat,"[""sparcnet50K""]",expert,0.26493801839454645,0.029946285140540246,1.5572865092058263,0.12622078615934273,198,0.31313131313131315
66,Hiba A. Haider,"[""Bonobo"", ""sparcnet50K""]",expert,0.24971353634283044,0.004576129069349678,1.876239299188824,0.029021298802333596,5818,0.21639738741835682
67,Holmes Manisha,"[""sparcnet50K""]",expert,0.09720148109521481,0.009562069555656465,1.7997896293989144,0.058796773705310425,1372,0.19825072886297376
70,Ioannis Karakis,"[""Super8"", ""sparcnet50K""]",expert,0.26884175971101987,0.002323745997921339,1.9238277692376715,0.018013118459787706,16531,0.2953844292541286
72,Jay Pathmanathan,"[""sparcnet50K""]",expert,0.1670846384502093,0.008724438235162281,2.296277133974569,0.07859726622079939,1001,0.15784215784215785
73,Jenn Kim,"[""New28"", ""sparcnet50K""]",experienced,0.08851492579200985,0.005961461161655797,1.7856815074118149,0.03195522633597524,5452,0.10198092443140132
76,Ji Yeoun Yoo,"[""Bonobo"", ""sparcnet50K""]",expert,0.2606537877749545,0.007300162361853985,2.096944443537455,0.056895350495201995,1474,0.3819538670284939
78,Jin Jing,"[""New28"", ""sparcnet50K""]",experienced,0.20409089482689008,0.003996597072478519,2.2172033673603564,0.03770482911464332,5550,0.12162162162162163
79,Jonathan J. Halford,"[""Super8"", ""sparcnet50K""]",expert,0.3107235700576788,0.002524594394638004,2.009745413551807,0.019920225916656865,13143,0.2955185269725329
80,Jong Woo Lee,"[""sparcnet50K""]",expert,0.1897169195600692,0.005823097003643738,2.1237762831577975,0.04548207479139693,3006,0.15635395874916833
97,M. Brandon Westover,"[""Super8"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.1985808134004956,0.002309177476305046,1.9084522060415463,0.017141183224174465,21016,0.21074419489912447
98,Mackenzie C. Cervenka,"[""sparcnet50K""]",expert,0.16294843087144162,0.0049967001664837744,1.9853056041778232,0.038679504257448705,3394,0.21714790807307013
100,Marcus Ng,"[""Super8"", ""sparcnet50K""]",expert,0.15600473359805447,0.002915325637907809,2.0723212635391746,0.02261251927500577,12965,0.14269186270728884
109,Mo Shafi,"[""New28"", ""sparcnet50K""]",expert,0.19750153625118513,0.015587981929099203,2.0195043073656014,0.11914676249663832,340,0.2647058823529412
110,Mohammad Tabaeizadeh F.,"[""sparcnet50K""]",expert,0.2651339007212345,0.006923109179750601,2.0294495420664815,0.045652936274374376,2663,0.1629740893728877
112,Monica Dhakar,"[""sparcnet50K""]",expert,-0.01523528990885884,0.00731383252226474,1.6474365806823137,0.030132061799687318,6484,0.06878470080197409
115,Nicolas Gaspard,"[""sparcnet50K""]",expert,0.13283617112778953,0.006392505034262557,1.9274851421155765,0.04033738028915741,3535,0.13012729844413012
120,Olga Taraschenko,"[""Bonobo"", ""sparcnet50K""]",expert,0.029153681439811667,0.006083417666843001,1.4473479791356645,0.02390920952313207,6256,0.14114450127877237
125,Peter Kaplan,"[""New28"", ""sparcnet50K""]",expert,0.12100217135755345,0.004374371953025592,1.7666896113542252,0.026288579134668734,6781,0.17150862704615838
175,Rani Sarkis,"[""New28"", ""sparcnet50K""]",expert,0.1991866953019338,0.0029837732963809488,2.168168993224251,0.026159955964563983,8938,0.17766838218840905
180,Sahar Zafar,"[""New28"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.13924808483290535,0.005325937960349407,1.4551646722964415,0.021803888139026638,7590,0.19090909090909092
185,Sarah Schmitt,"[""Bonobo"", ""sparcnet50K""]",expert,0.32010207903702786,0.004171811961141312,2.015146143482022,0.029718329133890553,5950,0.26100840336134457
192,Sue Herman,"[""sparcnet50K""]",expert,0.26274879468757983,0.00795934649221935,2.078294013964009,0.06708609429975741,1333,0.20930232558139536
204,Zubeda Sheikh,"[""Bonobo"", ""sparcnet50K""]",expert,0.2634803734691009,0.0034082265389097192,1.9874570401395846,0.029379943239918972,6259,0.30308355967406936
10043096,centaur_43096,"[""Centaur""]",novice,0.14016959292010353,0.08231868442252473,0.2837055544752185,0.12624922286384418,188,0.19680851063829788
10075969,centaur_75969,"[""Centaur""]",novice,0.33315920797429416,0.04258873206895236,0.3909307923248613,0.08830943528341924,523,0.25047801147227533
10112839,centaur_112839,"[""Centaur""]",expert,-0.042144134293525565,0.11445800124038237,0.19479737060894342,0.1411721432436687,123,0.16260162601626016
10123180,centaur_123180,"[""Centaur""]",unknown,0.5431031316272887,0.003993356733067421,2.8719762327826395,0.06720001559409286,1248,0.1233974358974359
10123559,centaur_123559,"[""Centaur""]",novice,0.44417405429684703,0.012300789960569184,0.5111746459690256,0.03195501471091073,4780,0.28305439330543936
10132535,centaur_132535,"[""Centaur""]",novice,-0.15070285044024684,0.10662640801116333,0.1954147765579141,0.11930243732160405,155,0.13548387096774195
10154419,centaur_154419,"[""Centaur""]",novice,-0.3685381659507512,0.07262596610450105,0.18666149972684495,0.06500151139191641,468,0.08333333333333333
10187180,centaur_187180,"[""Centaur""]",novice,0.14976523790218865,0.018023286489571244,0.6143497226708841,0.03202746940912946,2580,0.13565891472868216
