rater_id,canonical_name,groups,expertise_level,t_mean,t_sd,ell_mean,ell_sd,n_labels,pos_rate
0,Aaron F. Struck,"[""Bonobo"", ""profiler_iiic"", ""sparcnet50K""]",expert,-0.031259433842311606,0.0020678663186690107,2.665658558224017,0.02385920186984938,16324,0.036755697133055626
6,Aline Herlopian,"[""Super8"", ""sparcnet50K""]",expert,-0.06916952798224692,0.0024357607433319844,2.4866391018960554,0.021210956739984573,16831,0.03505436397124354
10,Andres Rodriguez,"[""sparcnet50K""]",expert,-0.26662093540796916,0.012608487309275891,1.5610759296025714,0.036777596608160955,3271,0.025374503210027516
16,Arcot Jayagopal Lakshman Narain,"[""sparcnet50K""]",expert,0.05028755340590247,0.001603349288404321,3.0,0.035017077764295274,6259,0.14075730947435694
20,Brian Appavu,"[""sparcnet50K""]",expert,0.042530867939188345,0.0028294305613397464,2.0288410754147352,0.029940706561605867,9800,0.14877551020408164
26,Christa Swisher,"[""sparcnet50K""]",expert,-0.005372363918495599,0.0033736089986940395,2.8783779809022376,0.04830724776912963,3804,0.05021030494216614
46,Emily Gilmore,"[""sparcnet50K""]",expert,-0.029921200511706814,0.004979418677632919,2.625093114512007,0.05428134548515538,2266,0.050750220653133275
47,Emily Johnson,"[""sparcnet50K""]",expert,0.03736244482441644,0.0014634124142099843,2.977197043902847,0.02807543905125779,9864,0.1031021897810219
49,Eric S. Rosenthal,"[""sparcnet50K""]",expert,-0.01867492809119156,0.007142809064460404,1.9190991366851078,0.04183943632211534,2699,0.11745090774360874
60,Gamal Osman,"[""Bonobo"", ""sparcnet50K""]",expert,-0.12483743348260977,0.0044526613742827785,2.1836342528003017,0.025389314850523894,8844,0.024536408864767073
66,Hiba A. Haider,"[""Bonobo"", ""sparcnet50K""]",expert,-0.0009441050088251888,0.0024172668991519733,2.9104189050156037,0.037935406484520776,5818,0.0627363355104847
67,Holmes Manisha,"[""sparcnet50K""]",expert,0.0032204626617852563,0.005679579170641043,2.6342627317677443,0.07209221238696524,1372,0.0597667638483965
70,Ioannis Karakis,"[""Super8"", ""sparcnet50K""]",expert,0.03516104840573008,0.0014300477747190771,2.7655119894120834,0.02200751882477641,16531,0.08795596152682839
72,Jay Pathmanathan,"[""sparcnet50K""]",expert,0.059148691160007844,0.0056847218049589825,2.5455239865178054,0.09120489604153409,1001,0.16883116883116883
73,Jenn Kim,"[""New28"", ""sparcnet50K""]",experienced,-0.06336741318178633,0.004547096473278867,2.1243237077394306,0.031849092577034256,5452,0.05520909757887014
74,Jennifer William,"[""sparcnet50K""]",expert,0.0368753212918466,0.01204686902997777,3.0,0.15874857879938797,1237,0.06628940986257073
76,Ji Yeoun Yoo,"[""Bonobo"", ""sparcnet50K""]",expert,-0.05817889855040246,0.00803109836190682,2.9189916574500936,0.09760305195182016,1474,0.012211668928086838
78,Jin Jing,"[""New28"", ""sparcnet50K""]",experienced,0.0464008003649786,0.0020985882169623133,3.0,0.04648841582216616,6564,0.11639244363193176
79,Jonathan J. Halford,"[""Super8"", ""sparcnet50K""]",expert,0.09929283408834862,0.002589722714532619,1.899698161970161,0.019287162148587923,13143,0.21022597580461083
80,Jong Woo Lee,"[""sparcnet50K""]",expert,0.09231048421016953,0.0030244571743234267,2.675201943851502,0.05544111459219992,3006,0.18662674650698602
97,M. Brandon Westover,"[""Super8"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.017054917318208688,0.0013406478736011393,2.8478892175945303,0.022202385400418204,22030,0.07553336359509759
98,Mackenzie C. Cervenka,"[""sparcnet50K""]",expert,0.16521230955913901,0.004477204485399702,2.068686248673927,0.03775369043611235,3394,0.2813789039481438
100,Marcus Ng,"[""Super8"", ""sparcnet50K""]",expert,0.08939285518073017,0.0018743827345419543,2.377099920092286,0.027725066337266936,12965,0.18511376783648284
110,Mohammad Tabaeizadeh F.,"[""sparcnet50K""]",expert,-0.01403453086193592,0.007175039520123144,1.9435797757560687,0.044303679611102736,2663,0.09951182876455125
112,Monica Dhakar,"[""sparcnet50K""]",expert,-0.08558340688910988,0.004196523697748614,2.397850759904371,0.03182960413420786,6484,0.029919802590993215
115,Nicolas Gaspard,"[""sparcnet50K""]",expert,-0.038362787768155,0.00383961580232443,2.6547096103681986,0.04523697034777703,3535,0.056294200848656294
120,Olga Taraschenko,"[""Bonobo"", ""sparcnet50K""]",expert,0.01870625975748534,0.0017670707228515372,3.0,0.03620014133003862,6256,0.09063299232736573
125,Peter Kaplan,"[""New28"", ""sparcnet50K""]",expert,0.022960687393819526,0.0019622491210822936,2.7810111469827303,0.03280644742901134,6781,0.10263972865359092
175,Rani Sarkis,"[""New28"", ""sparcnet50K""]",expert,0.03752356199505996,0.00152185671935563,3.0,0.030678387197402186,8938,0.10405012307003804
180,Sahar Zafar,"[""New28"", ""profiler_iiic"", ""sparcnet50K""]",expert,-0.02541211834898833,0.002329854255050567,2.7715812846186467,0.03349258447347897,7590,0.06337285902503294
185,Sarah Schmitt,"[""Bonobo"", ""sparcnet50K""]",expert,-0.02229954703314802,0.0031183422433431855,2.6866302276322784,0.0356772134439831,5950,0.043025210084033615
192,Sue Herman,"[""sparcnet50K""]",expert,0.006301697196841891,0.004492408745542551,2.9372448553074877,0.07355389491903508,1333,0.08477119279819954
204,Zubeda Sheikh,"[""Bonobo"", ""sparcnet50K""]",expert,-0.0057041658747757785,0.002115958438069208,2.897635762818186,0.0351287178775213,6259,0.06294935293177824
