rater_id,canonical_name,groups,expertise_level,t_mean,t_sd,ell_mean,ell_sd,n_labels,pos_rate
0,Aaron F. Struck,"[""Bonobo"", ""profiler_iiic"", ""sparcnet50K""]",expert,-0.6671591568550026,0.012310169185072406,0.4841884042746494,0.014778502498152074,16324,0.09660622396471454
5,Alice Lam,"[""Super8"", ""sparcnet50K""]",expert,1.2648120100301632,0.023551035658344897,3.0,0.24310888641780548,418,0.8086124401913876
6,Aline Herlopian,"[""Super8"", ""sparcnet50K""]",expert,-0.59192284613519,0.012597929446447935,0.3874307852814095,0.012938204473994273,16831,0.09262670073079436
10,Andres Rodriguez,"[""sparcnet50K""]",expert,-0.6112988599847167,0.036738304641190093,0.5991619857201208,0.042275512422029184,3271,0.027514521553041883
16,Arcot Jayagopal Lakshman Narain,"[""sparcnet50K""]",expert,-0.8504017041698076,0.026685287589827328,0.08508220425283662,0.01926972086398782,6259,0.0632688927943761
20,Brian Appavu,"[""sparcnet50K""]",expert,-0.747667944680443,0.021765078632926944,0.2046417502339499,0.015768796001755018,9800,0.04663265306122449
22,Carlos Muniz,"[""sparcnet50K""]",expert,1.303253848764576,0.026918731382422505,3.0,0.2446115429744604,767,0.9256844850065189
26,Christa Swisher,"[""sparcnet50K""]",expert,-0.4902337204874604,0.03081747661222398,0.9792528930735784,0.060181765591357655,3804,0.02392218717139853
38,Deepti Zutshi,"[""sparcnet50K""]",expert,-0.41948152228264485,0.06403320348075213,0.6326339766420038,0.0904967853678061,518,0.0694980694980695
39,Deirdre O''Rourke,"[""sparcnet50K""]",expert,1.333300463994228,0.1252263755554412,1.9322784848135939,0.391454446026488,314,0.8439490445859873
40,Diego Carvalho,"[""sparcnet50K""]",expert,1.3508005892385393,0.11746832479177238,0.206577045455244,0.0680991487230422,567,0.9347442680776014
42,Eddy Amorim,"[""sparcnet50K""]",expert,0.7406582623228822,0.06360030450868226,1.2290898834391408,0.15924355227614215,515,0.8854368932038835
43,Eliezer Sternberg,"[""sparcnet50K""]",expert,0.847521496318863,0.03424086576726727,2.8005609589083535,0.3154244457128521,339,0.831858407079646
46,Emily Gilmore,"[""sparcnet50K""]",expert,-0.3321934315352067,0.03267143886289404,0.610249310992744,0.04032914495023955,2266,0.05339805825242718
47,Emily Johnson,"[""sparcnet50K""]",expert,-0.5690730709988207,0.019090672524113683,0.559929112921665,0.02137821558192365,9864,0.03801703163017032
49,Eric S. Rosenthal,"[""sparcnet50K""]",expert,-0.36895923054500485,0.03128352867358594,0.7166211947653702,0.03358182907476557,2699,0.04075583549462764
57,Fonda Chan,"[""sparcnet50K""]",expert,1.1064117767417718,0.020132364564469,3.0,0.23108830172657915,655,0.8198473282442749
60,Gamal Osman,"[""Bonobo"", ""sparcnet50K""]",expert,-0.31706539979862686,0.015909482912639997,0.44538181402531196,0.016895359799779946,8844,0.07202623247399367
62,Gina Deck,"[""sparcnet50K""]",expert,1.3592055058228762,0.047965188547161024,2.5663991928640875,0.27979498305977163,498,0.9477911646586346
66,Hiba A. Haider,"[""Bonobo"", ""sparcnet50K""]",expert,-0.6638791141492439,0.02765679166088698,0.46397040084859886,0.026494125392358327,5818,0.03832932279133723
67,Holmes Manisha,"[""sparcnet50K""]",expert,-0.038189012692435145,0.024214570289142562,1.050483622299312,0.06327789473837629,1372,0.11588921282798834
69,Illya Tolokh,"[""sparcnet50K""]",expert,0.8617291611979678,0.02736218789939155,2.94225804507384,0.2563552627148239,571,0.8178633975481612
70,Ioannis Karakis,"[""Super8"", ""sparcnet50K""]",expert,-0.3091112567597246,0.00919313829735159,0.5852310578489973,0.013808848028623066,16531,0.13217591192305367
72,Jay Pathmanathan,"[""sparcnet50K""]",expert,-0.7383797050241437,0.07628281486771686,1.0297846313295091,0.13116344742226085,1001,0.017982017982017984
73,Jenn Kim,"[""New28"", ""sparcnet50K""]",experienced,-0.5987592751691292,0.026474792364653253,0.4223370691231984,0.024595312516719176,5452,0.040719002201027144
74,Jennifer William,"[""sparcnet50K""]",expert,0.6337579727641249,0.03323324085981857,0.7986764818245968,0.05395433929862025,1237,0.9062247372675829
76,Ji Yeoun Yoo,"[""Bonobo"", ""sparcnet50K""]",expert,-0.5806450738850989,0.03949908737710811,1.0031558852691995,0.08293009097149322,1474,0.05359565807327001
77,Jimmy Yang,"[""sparcnet50K""]",experienced,1.1550782579867038,0.08549070658173653,2.3237114757766975,0.39461853294741717,377,0.9708222811671088
78,Jin Jing,"[""New28"", ""sparcnet50K""]",experienced,0.1495214236146993,0.010050063011421681,1.03261918503758,0.013535131819940953,14598,0.7301000137005069
79,Jonathan J. Halford,"[""Super8"", ""sparcnet50K""]",expert,-0.5992234021207816,0.01568134290351195,0.26677732188549214,0.013444319855412062,13143,0.0640645210378148
80,Jong Woo Lee,"[""sparcnet50K""]",expert,-0.242497101244385,0.02608430295979863,0.7436524876585525,0.03911177797693062,3006,0.05322687957418496
84,Karan Poddar,"[""sparcnet50K""]",experienced,1.182637274084174,0.024019438232162706,3.0,0.28624961183277303,541,0.8927911275415896
97,M. Brandon Westover,"[""Super8"", ""profiler_iiic"", ""sparcnet50K""]",expert,0.03483508948674746,0.005186601024450142,1.2356165168285778,0.011335144668811465,30064,0.425691857370942
98,Mackenzie C. Cervenka,"[""sparcnet50K""]",expert,-0.3298259264292259,0.020392216887640355,0.8560147839365145,0.04079459040950248,3394,0.06540954625810254
100,Marcus Ng,"[""Super8"", ""sparcnet50K""]",expert,-0.44955889119735815,0.014355870596042338,0.4922705688165963,0.0151027217939763,12965,0.0712688006170459
101,Marjan Dolatshahi,"[""sparcnet50K""]",expert,1.8511843172675886,0.11258900536229106,1.4605345496638025,0.1481126980567738,902,0.9190687361419069
109,Mo Shafi,"[""New28"", ""sparcnet50K""]",expert,-0.6059080652902527,0.09638485056853782,0.7631789175883057,0.13923005472645078,340,0.04411764705882353
